x,y,psi,v,cte,epsi,delta,a
6.63366,0.479943,0.204537,33.3614,0.526372,0.113726,0.0839045,0.62225
6.604,0.720192,0.257321,33.3392,1.00613,0.232819,0.0859324,0.633111
6.57041,0.899633,0.30457,33.2991,0.450621,0.11485,0.0935297,0.643533
6.5464,1.00026,0.341471,33.2665,1.26984,0.278474,0.106051,0.665692
6.54085,0.999079,0.361524,33.2398,1.28257,0.277375,0.122363,0.683213
6.50913,1.12935,0.387703,33.2063,1.08069,0.2028,0.121106,0.698204
6.4653,1.29802,0.408935,33.1721,1.54499,0.249467,0.109049,0.716603
6.46196,1.28316,0.403363,33.1414,1.6347,0.224125,0.107052,0.734352
6.48766,1.15705,0.376878,33.1349,1.86625,0.205854,0.107486,0.739535
6.49122,1.13599,0.35044,33.1325,2.15091,0.206892,0.089763,0.742437
6.48915,1.14025,0.322832,33.1271,2.41168,0.223303,0.0667128,0.745436
6.52459,0.954551,0.266745,33.1325,2.50811,0.21563,0.0533815,0.744252
6.56024,0.71105,0.210621,33.1331,2.54683,0.204902,0.0496661,0.744557
6.5791,0.569897,0.162849,33.1478,2.33218,0.169525,0.0351102,0.739692
6.59953,0.375563,0.106866,33.169,2.23727,0.166241,0.0228576,0.731357
6.60476,0.375975,0.0785155,33.1942,2.03482,0.174713,-4.23136e-05,0.72145
6.62446,-0.000454169,0.0109207,33.2291,1.43027,0.118739,0.00886992,0.707541
6.63162,-0.000454847,-0.0089687,33.2636,1.08973,0.113887,-0.00713779,0.694098
6.63758,0.095476,-0.0185573,33.2954,0.631275,0.112026,-0.0308904,0.682259
6.64304,-0.0769158,-0.0599568,33.3198,0.400733,0.126465,-0.0352881,0.67324
6.63916,-0.33304,-0.0925763,33.3441,-0.339755,0.0598062,-0.0186658,0.662769
6.64978,-0.201509,-0.0743078,33.365,-0.890193,0.0326657,-0.0259859,0.654925
6.65257,-0.201626,-0.0775614,33.3785,-1.11702,0.0435044,-0.0285749,0.650065
6.65182,-0.280788,-0.0697516,33.3903,-1.58188,-0.0153463,-0.00912938,0.644066
6.65199,-0.308839,-0.0549423,33.3976,-1.75901,-0.0541285,0.00739911,0.640361
