x,y,psi,v,cte,epsi,delta,a
6.56081,0.965581,0.347775,33.3068,0.715386,0.201374,0.117051,0.658372
6.52053,1.14077,0.387942,33.2708,1.03726,0.212558,0.119424,0.677664
6.49098,1.2462,0.406887,33.2368,1.19701,0.197323,0.1165,0.69051
6.47853,1.26912,0.408505,33.2034,1.73416,0.221459,0.113776,0.707692
6.48134,1.23751,0.395968,33.1844,1.97912,0.212974,0.10909,0.718175
6.48363,1.20805,0.371908,33.166,2.29995,0.220575,0.0947307,0.727708
6.49192,1.15856,0.340238,33.1567,2.52871,0.226894,0.0776949,0.732045
6.51695,1.0071,0.2915,33.1385,2.69886,0.234187,0.0643713,0.74036
6.54451,0.827264,0.243654,33.1319,2.61523,0.204562,0.0565198,0.743836
6.57475,0.603152,0.186194,33.1431,2.61602,0.208307,0.048306,0.739577
6.57802,0.603567,0.161112,33.159,2.29105,0.187833,0.0280129,0.734047
6.59091,0.516606,0.121218,33.1799,2.11447,0.199917,0.0106027,0.726012
6.6131,0.300302,0.0761241,33.2125,1.81053,0.183377,0.0108096,0.712891
6.62753,0.113894,0.0380095,33.2494,1.34675,0.158253,0.0114751,0.698045
6.63369,0.116267,0.0295623,33.2786,0.954193,0.15563,0.00429036,0.686768
6.63906,0.123566,0.0260031,33.3045,0.427164,0.128412,0.000219631,0.676801
6.64386,0.046238,0.0191291,33.3215,0.054293,0.0960961,0.00763251,0.669619
6.64841,0.00236918,0.0215812,33.342,-0.321435,0.0473429,0.0169209,0.660933
6.65055,0.0823765,0.038775,33.3548,-0.405125,0.0439208,0.0173611,0.655811
6.6502,0.182672,0.0613504,33.3636,-0.442439,0.0378685,0.018738,0.652201
6.6514,0.187475,0.0726558,33.3699,-0.38974,0.0330541,0.0270019,0.649345
6.65214,0.202389,0.0881024,33.3757,-0.26941,0.0296755,0.0368969,0.646763
6.64881,0.291607,0.108799,33.3778,-0.117887,0.0366842,0.0386098,0.646026
6.64215,0.398283,0.131197,33.3762,0.0941359,0.0416783,0.0387588,0.646933
6.64053,0.416711,0.139626,33.3746,0.326446,0.0512176,0.0424362,0.647626
6.63714,0.457893,0.148527,33.3734,0.621919,0.0697804,0.0426879,0.648191
6.63678,0.457859,0.150652,33.3717,0.798255,0.0773219,0.0443963,0.648995
6.63622,0.460534,0.150806,33.37,0.980917,0.0868024,0.0440711,0.649822
6.6343,0.478878,0.150915,33.3681,1.07759,0.0912134,0.0410892,0.650868
6.63353,0.475273,0.14486,33.363,1.20316,0.101579,0.036833,0.653029
6.63607,0.443185,0.134849,33.363,1.28312,0.113235,0.0341735,0.653047
6.63999,0.397411,0.121503,33.3659,1.25553,0.111313,0.0311267,0.651999
6.64156,0.368736,0.111028,33.3644,1.20742,0.10973,0.0275174,0.652729
6.64397,0.335931,0.0984823,33.3663,1.12107,0.106692,0.0229383,0.652093
6.64702,0.297075,0.0867568,33.3708,1.03478,0.103141,0.0200265,0.650367
6.64999,0.24771,0.0734371,33.3739,0.895391,0.0945642,0.0175856,0.649236
6.6514,0.216289,0.0644327,33.3746,0.773618,0.0872342,0.0156072,0.649043
6.65392,0.168609,0.0538176,33.379,0.617922,0.0708074,0.0150473,0.647353
6.65454,0.168631,0.0500503,33.382,0.533555,0.0687367,0.0120253,0.646211
6.65508,0.162596,0.0464595,33.3837,0.453071,0.0666922,0.0101539,0.645583
6.65657,0.129966,0.0410963,33.3869,0.340316,0.0577278,0.0112915,0.644301
6.65756,0.109756,0.0386519,33.3896,0.260451,0.0505531,0.0126982,0.6432
6.65782,0.122064,0.040849,33.392,0.183782,0.0446826,0.0124099,0.642285
6.65781,0.137278,0.04371,33.3935,0.149586,0.0419975,0.0121697,0.641707
6.65824,0.134171,0.0453999,33.3952,0.129311,0.0372268,0.0140408,0.641027
6.65859,0.131582,0.0471487,33.3965,0.130937,0.033856,0.0158727,0.640493
6.65832,0.151816,0.0517206,33.3976,0.158187,0.0320591,0.0161675,0.640125
6.65788,0.171621,0.0553661,33.3981,0.197738,0.0334037,0.0157913,0.63997
6.65789,0.174811,0.0574205,33.3986,0.213219,0.0279855,0.016906,0.639829
